Date : 2020-07-10 10:51:20
Directory : c:\Users\herbe\Documents\LearnRust\noxfutura
Total : 176 files,  11968 codes, 274 comments, 1403 blanks, all 13645 lines

Languages
+-----------------------------+------------+------------+------------+------------+------------+
| language                    | files      | code       | comment    | blank      | total      |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_raws\src\formats\items.rs                                | Rust                        |         48 |          0 |          7 |         55 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_raws\src\formats\materials.rs                            | Rust                        |         53 |          0 |          7 |         60 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_raws\src\formats\mod.rs                                  | Rust                        |         20 |          0 |          1 |         21 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_raws\src\formats\names.rs                                | Rust                        |         50 |          0 |          7 |         57 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_raws\src\formats\plants.rs                               | Rust                        |         64 |          1 |          7 |         72 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_raws\src\formats\professions.rs                          | Rust                        |         60 |          0 |          9 |         69 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_raws\src\formats\species.rs                              | Rust                        |         68 |          0 |          9 |         77 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_raws\src\formats\vox.rs                                  | Rust                        |         38 |          0 |          6 |         44 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_raws\src\lib.rs                                          | Rust                        |         72 |          0 |          8 |         80 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_raws\src\material_map.rs                                 | Rust                        |         79 |          1 |          8 |         88 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_wgpu_utils\Cargo.toml                                    | TOML                        |         15 |          1 |          3 |         19 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_wgpu_utils\src\context.rs                                | Rust                        |         59 |          0 |          7 |         66 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_wgpu_utils\src\framework.rs                              | Rust                        |        169 |          4 |         15 |        188 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_wgpu_utils\src\lib.rs                                    | Rust                        |         27 |          0 |          6 |         33 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_wgpu_utils\src\pipelines.rs                              | Rust                        |        103 |          1 |         10 |        114 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_wgpu_utils\src\renderpass.rs                             | Rust                        |         52 |          0 |          4 |         56 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_wgpu_utils\src\shader.rs                                 | Rust                        |         28 |          0 |          6 |         34 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_wgpu_utils\src\texture.rs                                | Rust                        |        121 |          0 |         15 |        136 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_wgpu_utils\src\uniforms.rs                               | Rust                        |         87 |          0 |          9 |         96 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_wgpu_utils\src\vertex_buffer.rs                          | Rust                        |         96 |          0 |         15 |        111 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\resources\raws\biomes.ron                                    | Rusty Object Notation (RON) |        605 |         10 |         43 |        658 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\resources\raws\buildings.ron                                 | Rusty Object Notation (RON) |         87 |          0 |          8 |         95 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\resources\raws\clothing.ron                                  | Rusty Object Notation (RON) |        224 |          4 |         21 |        249 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\resources\raws\items.ron                                     | Rusty Object Notation (RON) |         46 |          0 |          5 |         51 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\resources\raws\materials.ron                                 | Rusty Object Notation (RON) |        724 |          2 |         80 |        806 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\resources\raws\plants.ron                                    | Rusty Object Notation (RON) |         28 |          0 |          2 |         30 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\resources\raws\professions.ron                               | Rusty Object Notation (RON) |        364 |          0 |         39 |        403 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\resources\raws\species.ron                                   | Rusty Object Notation (RON) |         63 |          0 |          1 |         64 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\resources\raws\vox.ron                                       | Rusty Object Notation (RON) |        156 |          0 |         11 |        167 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\resources\shaders\gbuffer_test.frag                          | GLSL                        |         17 |          4 |          7 |         28 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\resources\shaders\gbuffer_test.vert                          | GLSL                        |          8 |          0 |          3 |         11 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\resources\shaders\planetgen.frag                             | GLSL                        |         11 |          0 |          2 |         13 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\resources\shaders\planetgen.vert                             | GLSL                        |         30 |          0 |          6 |         36 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\resources\shaders\quad_tex.frag                              | GLSL                        |          8 |          0 |          3 |         11 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\resources\shaders\quad_tex.vert                              | GLSL                        |          8 |          0 |          3 |         11 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\resources\shaders\regionblocks.frag                          | GLSL                        |         60 |          2 |         13 |         75 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\resources\shaders\regionblocks.vert                          | GLSL                        |         57 |          0 |          8 |         65 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\resources\shaders\shader.frag                                | GLSL                        |          6 |          0 |          2 |          8 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\resources\shaders\shader.vert                                | GLSL                        |         25 |          0 |          6 |         31 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\resources\shaders\sunlight.frag                              | GLSL                        |        106 |         17 |         33 |        156 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\resources\shaders\sunlight.vert                              | GLSL                        |         15 |          0 |          4 |         19 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\resources\shaders\voxmod.frag                                | GLSL                        |         15 |          0 |          4 |         19 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\resources\shaders\voxmod.vert                                | GLSL                        |         44 |          0 |          8 |         52 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\engine\mod.rs                                            | Rust                        |        206 |          6 |         26 |        238 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\main.rs                                                  | Rust                        |         10 |          0 |          3 |         13 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\messaging\backends.rs                                    | Rust                        |          5 |          0 |          2 |          7 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\messaging\mod.rs                                         | Rust                        |          7 |          0 |          3 |         10 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\messaging\renderflags.rs                                 | Rust                        |         24 |          0 |          4 |         28 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\helpers.rs                                         | Rust                        |         15 |          0 |          3 |         18 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\loader\mod.rs                                      | Rust                        |         53 |          0 |          9 |         62 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\loader\ui.rs                                       | Rust                        |         42 |          0 |          9 |         51 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\main_menu.rs                                       | Rust                        |        118 |          0 |         16 |        134 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\mod.rs                                             | Rust                        |        119 |          0 |          9 |        128 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\planetgen.rs                                       | Rust                        |         50 |          0 |          6 |         56 |
